Comment,Specialist,Subclass,Severity
My child has a cleft lip. since birth. Intensity: severe. It affects daily activities.. No relief from treatments.. Worsens following an injury..,Pediatric Surgery,Appendicitis,7
I've been getting confused and disoriented more often. I've been experiencing this for several months. The pain is radiating and seems to worsen after eating certain foods.,Neurologist,Amyotrophic Lateral Sclerosis (ALS),6
There's a metallic taste in my mouth that's affecting my eating. I've been experiencing this for several months. The pain is stabbing and seems to worsen after consuming salty foods.,Nephrologist,Renal Tubular Acidosis (RTA),10
I require reconstructive surgery after cancer treatment. I've been dealing with this for a year. The intensity is extreme and overwhelming. It impacts my self-esteem and confidence. Specialized wound care provides some relief. It tends to get worse after trauma or accidents..,Plastic Surgery,Hand and Wrist Surgery,7
There is blood in my urine. I've been experiencing this for several months. The condition is dry and seems to worsen after physical activity.,Urology,Cryptorchidism,3
I've developed painful sores and swelling around my anal area. I've been experiencing this for a week. The condition is debilitating and seems to worsen when lifting heavy objects.,General Surgeon,Abdominal Trauma,5
I'm experiencing pain in my testicles. I've been experiencing this for several months. The condition is painful and seems to worsen when I get stressed.,Vascular Surgery,Incontinence (Urinary and Fecal),4
Plantar fasciitis is making it hard to walk. I've been dealing with this since last year. The intensity is extreme and overwhelming. I have difficulty with physical activities. Eases with rest and proper care. It tends to get worse due to repetitive stress..,Orthopedics,Herniated Disc (Slipped Disc),3
I experience frequent coughing fits. I've been experiencing this for a month. The intensity is moderate and uncomfortable. I have difficulty sleeping due to the breathing issues. There is no significant relief despite treatments. It tends to get worse after a respiratory infection..,Pulmonology,Bronchiectasis,9
Pulmonary thromboendarterectomy resulted in a feeling of heaviness and occasional discomfort. I've been experiencing this for several months. The condition is sore and seems to worsen during recovery.,Cardiothoracic Surgeon,Diaphragmatic hernia repair,1
My joints are inflamed and sore. I've been experiencing this for the past few years. The intensity is extreme and unbearable. I can't engage in physical activities I used to enjoy. There is no significant relief despite treatments. It tends to get worse after I engage in physical activity.,Rheumatology,Osteoarthritis,6
I have persistent stiffness in my joints. I've been experiencing this for several months. The intensity is extreme and unbearable. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse after prolonged periods of inactivity.,Rheumatology,Systemic Lupus Erythematosus (SLE),8
The pericardial window creation procedure left me with a sense of tightness and occasional pain in my chest. I've been experiencing this for a month. The condition is discomforting and seems to worsen due to physical activity.,Cardiothoracic Surgeon,Thoracic aortic aneurysm repair,2
My urine has a strange color and odor. I've been experiencing this for a month. The condition is dry and seems to worsen when I get stressed.,Urology,Overactive Bladder,3
I was underwater for too long and am struggling to breathe. I've been experiencing this for several days. The condition is weak and seems to worsen following exposure to chemicals.,Emergency Medicine Specialist,Drug Overdose,6
I am getting assistive device training for improved daily living. I've been dealing with this for the past few years. The intensity is mild but persistent. It impacts my quality of life significantly. I feel better with specialized exercises. It tends to get worse after intensive physical therapy sessions..,Physical Medicine and Rehabilitation,Pediatric Rehabilitation,9
My skin is extremely dry and itchy all over. I've been experiencing this for two weeks. The pain is sharp and seems to worsen early in the morning.,Nephrologist,"Electrolyte Imbalance (e.g., Hyperkalemia, Hyponatremia)",6
I need maxillofacial surgery due to facial trauma. I've been dealing with this for a year. The intensity is severe and debilitating. I struggle with physical limitations due to the condition. Specialized wound care provides some relief. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Cleft Lip and Palate,8
I struggle with severe restriction and binging behaviors. I've been experiencing this since childhood. The intensity is mild but persistent. It limits my ability to engage in social activities. I feel slightly better after engaging in hobbies. It tends to get worse during periods of high stress..,Psychiatry,"Personality Disorders (e.g., Borderline Personality Disorder, Antisocial Personality Disorder)",3
I feel an overall sense of itching without any rash or skin changes. I've been experiencing this for a month. The pain is burning and seems to worsen after physical activity.,Nephrologist,Diabetic Nephropathy,9
I require reconstruction of my lower limb after an accident. I've been dealing with this for a year. The intensity is severe and debilitating. I have difficulty performing routine tasks. Pain is slightly eased with medication. It tends to get worse following a surgical procedure..,Plastic Surgery,Cosmetic Surgery,10
I feel constantly overwhelmed and sad. I've been experiencing this since last year. The intensity is mild but persistent. It limits my ability to engage in social activities. I feel slightly better after engaging in hobbies. It tends to get worse after consuming substances..,Psychiatry,Bipolar Disorder,8
I feel a constant need to urinate but pass very little urine each time. I've been experiencing this for several months. The pain is burning and seems to worsen when I'm stressed.,Nephrologist,"Electrolyte Imbalance (e.g., Hyperkalemia, Hyponatremia)",3
There's persistent fatigue and weakness despite rest. I've been experiencing this for a few days. The condition is chronic and seems to worsen after eating fatty foods.,Hepatologist,Portal Hypertension,3
I'm facing issues with digestion and frequent indigestion. I've been experiencing this for a few days. The condition is severe and seems to worsen after drinking caffeinated beverages.,Hepatologist,Hemochromatosis,4
My joints are inflamed and sore. I've been experiencing this for a year. The intensity is severe and debilitating. I have difficulty sleeping due to the pain. I feel better with over-the-counter pain relief. It tends to get worse after prolonged periods of inactivity.,Rheumatology,Myositis,2
My child has a urinary tract infection. since birth. Intensity: moderate. It requires regular check-ups.. Better with specific treatments.. Worsens due to seasonal changes..,Pediatrics,Immunizations and Preventive Care,7
The scan showed some unexpected findings. I have been experiencing symptoms for several months. I was reassured by the doctor's explanation. The outcome was that The imaging suggested further tests.. Post-scan care was straightforward.,Radiology,Angiography,4
I require rehabilitation following an amputation. I've been dealing with this for a year. The intensity is severe and debilitating. I struggle with work-related tasks due to the condition. Assistive devices provide some relief. It tends to get worse due to underlying health conditions..,Physical Medicine and Rehabilitation,Spinal Cord Injury Rehabilitation,8
I've discovered a lump on my thyroid gland. I've been experiencing this for several months. The condition is irritating and seems to worsen after exposure to smoke.,ENT Specialist,Otitis Media (Middle Ear Infection),10
I'm dealing with PCOS and its symptoms. I've been experiencing this for a week. The condition is persistent and seems to worsen during my menstrual cycle.,Obstetrics & Gynecology,Cervical Dysplasia,1
I have severe pain in my lower abdomen. I've been experiencing this for a few days. The condition is dry and seems to worsen in cold weather.,Urology,Overactive Bladder,5
I've been suffering from severe sinus pressure and congestion. I've been experiencing this for a week. The condition is irritating and seems to worsen following a cold.,ENT Specialist,Deviated Septum,2
I'm experiencing sharp pain in my jaw. I've been experiencing this for a few days. The condition is painful and seems to worsen after exposure to the sun.,Dental/OMFS,Facial reconstruction,4
"My voice has changed, and I have difficulty breathing. I've been experiencing this for a week. The pain is aching and seems to worsen after taking certain medications.",Oncologist,Lung Cancer,1
There is a persistent ache in my lower abdomen with occasional vomiting. I've been experiencing this for a week. The condition is intense and seems to worsen due to dietary changes.,General Surgeon,Abdominal Trauma,7
I'm dealing with persistent anxiety that affects my daily life. I've been experiencing this for several weeks. The condition is uncomfortable and seems to worsen during seasonal changes.,General Medicine Specialist,Chronic Obstructive Pulmonary Disease (COPD),1
I've injured my ACL and need rehabilitation. I've been dealing with this since childhood. The intensity is mild but persistent. It limits my social interactions. No significant relief found. It tends to get worse after physical exertion..,Orthopedics,Tendonitis,8
I have inflammation in my eye from uveitis. I've been experiencing this for a month. The condition is dry and seems to worsen after using digital screens.,Ophthalmologist,Age-related Macular Degeneration (AMD),9
There is swelling in my jaw after surgery. I've been experiencing this for a month. The condition is red and inflamed and seems to worsen in cold weather.,Dental/OMFS,Facial reconstruction,1
The results were clear and informative. I have been experiencing symptoms for a week. I felt relieved after the results. The outcome was that The imaging suggested further tests.. The preparation instructions were clear.,Radiology,Hysterosalpingography,4
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for a few days. The condition is red and inflamed and seems to worsen when I get stressed.,Vascular Surgery,Bladder Cancer,2
I feel bloated and can't seem to get relief. The pain is located in the on the left side of the abdomen. It comes and goes in waves. The intensity is extreme and unbearable. It makes it hard to concentrate at work. No relief with any treatment tried so far.,Surgical Gastroenterology,Pancreatitis,5
I have difficulty understanding or remembering medical instructions. I've been experiencing this for several months. The condition is exhausting and seems to worsen during the night.,Geriatrician,Arthritis,4
I've been told I have cervical dysplasia. I've been experiencing this for a month. The condition is mild and seems to worsen after eating certain foods.,Obstetrics & Gynecology,Preeclampsia,3
"My bones feel brittle, and I've had several fractures. I've been experiencing this for a year. The condition is painful and seems to worsen due to underlying health conditions.",Geriatrician,Arthritis,2
Tennis elbow is causing pain in my elbow. I've been dealing with this since last winter. The intensity is moderate and uncomfortable. I have difficulty with physical activities. Gets better with physical therapy. It tends to get worse after prolonged inactivity..,Orthopedics,Plantar Fasciitis,6
My gums are bleeding every time I brush. I've been experiencing this for several months. The condition is painful and seems to worsen after using a new dental product.,Dental/OMFS,Dental infections,3
Treatment for pediatric tumor. since birth. Intensity: mild. It impacts play and learning.. No relief from treatments.. Worsens due to genetics..,Pediatric Surgery,Hirschsprung's Disease,9
I have a burning sensation in my chest. The pain is located in the around the belly button. The pain started suddenly. The intensity is severe and debilitating. I have difficulty performing daily activities. No relief with any treatment tried so far.,Surgical Gastroenterology,Anal Fissures and Fistulas,4
"My nasal passages feel inflamed, and I have trouble breathing through my nose. I've been experiencing this for a week. The condition is painful and seems to worsen due to underlying health conditions.",ENT Specialist,Otitis Media (Middle Ear Infection),1
I have a burning sensation during urination. I've been experiencing this for a month. The condition is painful and seems to worsen when I get stressed.,Vascular Surgery,Peyronie's Disease,1
I have irregular periods and high levels of androgen hormones. I've been experiencing this for a few days. The condition is severe and seems to worsen after a recent illness.,Endocrinologist,Pituitary Disorders,7
My eyelids are swollen because of blepharitis. I've been experiencing this for a week. The condition is irritated and seems to worsen during allergy season.,Ophthalmologist,Uveitis,9
I feel a squeezing sensation in my chest after exertion. I've been experiencing this since yesterday. The condition is gradual and seems to worsen excessive caffeine.,Cardiology,Heart failure,2
I am managing chronic pain with physical therapy. I've been dealing with this for a month. The intensity is moderate and uncomfortable. It impacts my quality of life significantly. I feel better with specialized exercises. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Chronic Pain Management,8
I have persistent bad breath despite brushing regularly. I've been experiencing this for a year. The condition is dry and seems to worsen after eating certain foods.,Dental/OMFS,Facial reconstruction,7
Childhood obesity management is needed. for a couple of weeks. Intensity: mild. It causes discomfort.. Relief with prescribed medication.. Worsens after physical exertion..,Pediatrics,Ear Infections,6
"I underwent mediastinal tumor resection, and I'm experiencing some post-surgical pain and pressure. I've been experiencing this for several months. The condition is sore and seems to worsen in cold weather.",Cardiothoracic Surgeon,Thoracic aortic aneurysm repair,5
I have severe acne that won't go away. I've been experiencing this for a few days. The condition is red and inflamed and seems to worsen after eating certain foods.,Dermatologist,Moles and Birthmarks,2
I've had multiple episodes of confusion and agitation. I've been experiencing this for several months. The condition is persistent and seems to worsen during periods of inactivity.,Geriatrician,Alzheimer's Disease,6
The results were clear and informative. I have been experiencing symptoms for a year. I was reassured by the doctor's explanation. The outcome was that It ruled out any major concerns.. I needed to drink a special solution.,Radiology,Arthrography,4
"I've been experiencing severe, sharp pain in my lower abdomen. I've been experiencing this for a few days. The pain is throbbing and seems to worsen when I skip meals.",Nephrologist,"Electrolyte Imbalance (e.g., Hyperkalemia, Hyponatremia)",2
"My diet is not balanced, and I feel weak and tired. I've been experiencing this for a week. The condition is debilitating and seems to worsen during periods of inactivity.",Geriatrician,Urinary Incontinence,5
I have a burning sensation during urination. I've been experiencing this for a year. The condition is itchy and seems to worsen when I get stressed.,Vascular Surgery,Erectile Dysfunction,9
I'm having difficulty breathing. I've been experiencing this for the past few years. The intensity is moderate and uncomfortable. It makes it hard to work or concentrate. Using a nebulizer provides temporary relief. It tends to get worse after physical exertion..,Pulmonology,Sarcoidosis,3
I've been having trouble maintaining balance and coordination. I've been experiencing this for a few days. The pain is aching and seems to worsen when I'm stressed.,Nephrologist,Renal Artery Stenosis,5
I'm dealing with constant fatigue. I've been experiencing this for a week. The intensity is extreme and unbearable. I have difficulty sleeping due to the pain. I feel better with over-the-counter pain relief. It tends to get worse when it's cold and damp outside.,Rheumatology,Osteoarthritis,9
Surgery needed for appendicitis. since birth. Intensity: mild. It affects daily activities.. No relief from treatments.. Worsens due to genetics..,Pediatric Surgery,Intussusception,7
There is chronic pain in my back. I've been experiencing this for a couple of weeks. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. Pain is slightly eased with rest. It tends to get worse after a stressful day.,Rheumatology,Reactive Arthritis,7
My wisdom teeth are causing discomfort. I've been experiencing this for a year. The condition is scaly and seems to worsen after exposure to the sun.,Dental/OMFS,Dental implants,3
I experience frequent nausea and abdominal pain. I've been experiencing this for a year. The condition is irregular and seems to worsen during periods of stress.,Endocrinologist,Metabolic syndrome,9
I'm experiencing intense chest pain and shortness of breath. I've been experiencing this for a month. The condition is weak and seems to worsen due to a sudden illness.,Emergency Medicine Specialist,Sepsis,8
There is blood in my urine. I've been experiencing this for a week. The condition is scaly and seems to worsen in cold weather.,Vascular Surgery,Urethral Stricture,7
Neuroblastoma treatment needed. for a couple of weeks. Intensity: moderate. It causes discomfort.. Better with specific treatments.. Worsens due to genetics..,Pediatric Surgery,Esophageal Atresia,5
I experience severe disconnection from reality. I've been experiencing this since last year. The intensity is severe and debilitating. It limits my ability to engage in social activities. Therapy and medication provide some relief. It tends to get worse after consuming substances..,Psychiatry,Post-Traumatic Stress Disorder (PTSD),4
I'm having difficulty conceiving. I've been experiencing this for a year. The condition is persistent and seems to worsen in the mornings.,Obstetrics & Gynecology,Infertility,4
I'm having difficulty starting and maintaining a steady stream of urine. I've been experiencing this for a week. The condition is red and inflamed and seems to worsen after drinking alcohol.,Vascular Surgery,Kidney Stones,5
There is a recurrent discharge and pain around my anal area. I've been experiencing this for several months. The condition is swollen and seems to worsen during periods of high stress.,General Surgeon,Skin Lesions,4
I feel constantly overwhelmed and sad. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. It affects my overall quality of life. Support from family and friends helps. It tends to get worse following traumatic events..,Psychiatry,"Substance Use Disorders (e.g., Alcohol Use Disorder, Substance Abuse)",9
I'm having difficulty conceiving. I've been experiencing this for a year. The condition is mild and seems to worsen when stressed.,Obstetrics & Gynecology,Menstrual Disorders,7
"I have a dry cough that won't go away, even with medication. I've been experiencing this for several weeks. The condition is persistent and seems to worsen during periods of high stress.",ENT Specialist,Vertigo,1
I've been having difficulty speaking and my vision is blurred. I've been experiencing this for a few days. The pain is aching and seems to worsen when sitting for long periods.,Neurologist,Alzheimer's Disease,1
Eczema has been affecting my child's skin. for a week. Intensity: moderate. It causes discomfort.. Relief with prescribed medication.. Worsens after physical exertion..,Pediatrics,Dermatological Conditions,5
I require rehabilitation following an amputation. I've been dealing with this for a week. The intensity is moderate and uncomfortable. I struggle with work-related tasks due to the condition. Assistive devices provide some relief. It tends to get worse due to complications from previous treatments..,Physical Medicine and Rehabilitation,Vocational Rehabilitation,3
I had an ectopic pregnancy recently. I've been experiencing this for several months. The condition is irregular and seems to worsen in the mornings.,Obstetrics & Gynecology,Pelvic Inflammatory Disease (PID),3
I've lost a lot of blood due to a deep wound. I've been experiencing this for a week. The condition is painful and seems to worsen after ingesting a harmful substance.,Emergency Medicine Specialist,Severe Bleeding (Hemorrhage),3
I feel extreme fatigue even after a full night's sleep. I've been experiencing this for several months. The pain is dull and seems to worsen when I wake up.,Oncologist,Pancreatic Cancer,5
I've noticed unusual swelling in my lower abdomen. I've been experiencing this for several months. The condition is dry and seems to worsen after eating certain foods.,Vascular Surgery,Overactive Bladder,4
"I have stiffness in my joints, particularly in the morning. I've been experiencing this for a month. The condition is persistent and seems to worsen due to environmental changes.",General Medicine Specialist,Chronic Obstructive Pulmonary Disease (COPD),10
I'm having difficulty moving my hands. I've been experiencing this since last winter. The intensity is extreme and unbearable. I have difficulty sleeping due to the pain. Pain is slightly eased with rest. It tends to get worse when I wake up in the morning.,Rheumatology,Giant Cell Arteritis,10
I have persistent stiffness in my joints. I've been experiencing this for a couple of weeks. The intensity is severe and debilitating. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse after I engage in physical activity.,Rheumatology,Giant Cell Arteritis,9
I'm managing gestational diabetes during my pregnancy. I've been experiencing this for a week. The condition is persistent and seems to worsen when stressed.,Obstetrics & Gynecology,Polycystic Ovary Syndrome (PCOS),9
There's a persistent pain in my left arm that radiates to my chest. I've been experiencing this since yesterday. The condition is intermittent and seems to worsen intense exercise.,Cardiology,Atrial fibrillation,6
I experience swelling in my knees. I've been experiencing this for a week. The intensity is mild but persistent. I struggle with basic movements like standing or sitting. Hot or cold compresses provide temporary relief. It tends to get worse when I wake up in the morning.,Rheumatology,Osteoarthritis,8
I'm experiencing frequent shortness of breath and wheezing. I've been experiencing this for a month. The condition is distressing and seems to worsen during periods of high stress.,General Medicine Specialist,Chronic Kidney Disease (CKD),6
I'm having difficulty starting and maintaining a steady stream of urine. I've been experiencing this for a few days. The condition is scaly and seems to worsen after eating certain foods.,Urology,Testicular Cancer,1
I've been diagnosed with cardiomyopathy and have heart-related symptoms. I've been experiencing this several months. The condition is gradual and seems to worsen emotional stress.,Cardiology,Angina,4
I've lost a lot of blood due to a deep wound. I've been experiencing this for a few hours. The condition is critical and seems to worsen following drug use.,Emergency Medicine Specialist,Respiratory Failure,4
I'm experiencing a feeling of fullness in my ears and muffled hearing. I've been experiencing this for a month. The condition is annoying and seems to worsen following a cold.,ENT Specialist,Hearing Loss,9
I have a thinning cornea from keratoconus. I've been experiencing this for a month. The condition is irritated and seems to worsen after eye strain.,Ophthalmologist,Corneal Ulcers,1
I have a burning sensation in my chest. The pain is located in the upper abdomen. The symptoms gradually worsened over time. The intensity is extreme and unbearable. I have difficulty performing daily activities. Improves slightly with over-the-counter medication.,Surgical Gastroenterology,"Inflammatory Bowel Disease (Crohn's Disease, Ulcerative Colitis)",8
I experience swelling in my knees. I've been experiencing this for a couple of weeks. The intensity is extreme and unbearable. I have difficulty sleeping due to the pain. Pain is slightly eased with rest. It tends to get worse when I wake up in the morning.,Rheumatology,Ankylosing Spondylitis,2
"There's a new, irregular mole on my skin that is changing color. I've been experiencing this for a few days. The pain is throbbing and seems to worsen when exposed to sunlight.",Oncologist,Breast Cancer,6
I'm haunted by past trauma and flashbacks. I've been experiencing this since last winter. The intensity is extreme and overwhelming. I struggle with work and personal responsibilities. Therapy and medication provide some relief. It tends to get worse during periods of high stress..,Psychiatry,"Eating Disorders (e.g., Anorexia Nervosa, Bulimia Nervosa)",9
I feel a constant pressure in my bladder area. I've been experiencing this for a few days. The condition is painful and seems to worsen after physical activity.,Vascular Surgery,Varicocele,6
I'm having difficulty starting and maintaining a steady stream of urine. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen after eating certain foods.,Urology,Benign Prostatic Hyperplasia (BPH),1
I feel short of breath even with minimal activity. I've been experiencing this for a few days. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. The symptoms are slightly eased with medication. It tends to get worse when I come into contact with allergens..,Pulmonology,Sleep Apnea,3
Neuroblastoma treatment needed. for several months. Intensity: mild. It affects daily activities.. Better with specific treatments.. Worsens during growth spurts..,Pediatric Surgery,Imperforate Anus,8
I've injured my ACL and need rehabilitation. I've been dealing with this for several months. The intensity is severe and debilitating. I struggle with basic movements. No significant relief found. It tends to get worse due to repetitive stress..,Orthopedics,Tennis Elbow,9
Rheumatoid arthritis is causing joint pain. I've been dealing with this since last winter. The intensity is extreme and overwhelming. It impacts my ability to work. Gets better with physical therapy. It tends to get worse due to repetitive stress..,Orthopedics,Carpal Tunnel Syndrome,5
"One of my eyelids is drooping, causing vision issues. I've been experiencing this for a week. The condition is painful and seems to worsen when exposed to bright lights.",Ophthalmologist,Keratoconus,2
I've been experiencing frequent episodes of diarrhea and fatigue. I've been experiencing this for a month. The pain is burning and seems to worsen after consuming dairy products.,Gastroenterologist,"Inflammatory Bowel Disease (Crohn's Disease, Ulcerative Colitis)",9
I experience sharp pain in my lower abdomen regularly. I've been experiencing this for a few days. The pain is persistent and seems to worsen after drinking alcohol.,Gastroenterologist,Liver Cirrhosis,10
Ear infections are recurring in my child. since birth. Intensity: severe. It impacts school performance.. Improves with rest and care.. Worsens due to seasonal changes..,Pediatrics,Autism Spectrum Disorder (ASD),7
I have severe pain in my lower abdomen. I've been experiencing this for a week. The condition is dry and seems to worsen after drinking alcohol.,Urology,Testicular Cancer,4
I need treatment for a sports-related injury. I've been dealing with this for a few days. The intensity is moderate and uncomfortable. It limits my ability to engage in social activities. Pain is slightly eased with therapy. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Spinal Cord Injury Rehabilitation,1
There are small red bumps on my arms and legs. I've been experiencing this for a month. The condition is dry and seems to worsen after exposure to the sun.,Dermatologist,Dermatitis,4
I have persistent high blood pressure that doesn't seem to improve. I've been experiencing this for several months. The condition is painful and seems to worsen following a recent illness.,General Medicine Specialist,Hyperlipidemia,5
I have difficulty exercising due to shortness of breath. I've been experiencing this since yesterday. The condition is sudden and seems to worsen excessive caffeine.,Cardiology,Congenital heart disease,9
I have frequent muscle weakness that makes it hard to perform tasks. I've been experiencing this for several months. The pain is aching and seems to worsen after eating high-protein meals.,Nephrologist,Renal Failure,2
"One of my eyelids is drooping, causing vision issues. I've been experiencing this for a week. The condition is painful and seems to worsen after eye strain.",Ophthalmologist,Glaucoma,9
