Comment,Specialist,Subclass,Severity
I'm frequently feeling fatigued due to breathing problems. I've been experiencing this for several months. The intensity is severe and debilitating. It makes it hard to work or concentrate. The symptoms are slightly eased with medication. It tends to get worse after physical exertion..,Pulmonology,Emphysema,4
I experience severe disconnection from reality. I've been experiencing this for a year. The intensity is extreme and overwhelming. It limits my ability to engage in social activities. I feel slightly better after engaging in hobbies. It tends to get worse during periods of high stress..,Psychiatry,Depression,3
Carpal tunnel syndrome is affecting my wrists. I've been dealing with this for a year. The intensity is moderate and uncomfortable. I struggle with basic movements. Improves with prescribed medication. It tends to get worse following injury or trauma..,Orthopedics,Tennis Elbow,4
I feel lightheaded and have muscle cramps due to calcium imbalances. I've been experiencing this for a few days. The condition is painful and seems to worsen after a lack of sleep.,Endocrinologist,Reproductive endocrinology disorders,4
I've lost a lot of weight without trying. The pain is located in the under the ribs. The symptoms gradually worsened over time. The intensity is severe and debilitating. It makes it hard to concentrate at work. No relief with any treatment tried so far.,Surgical Gastroenterology,Gastric Cancer,10
I have trouble remembering recent events and conversations. I've been experiencing this for a month. The condition is painful and seems to worsen during the night.,Geriatrician,Malnutrition,7
Pulmonary thromboendarterectomy has left me with a persistent feeling of heaviness in my chest. I've been experiencing this for a year. The condition is painful and seems to worsen after medication.,Cardiothoracic Surgeon,Esophageal cancer surgery,8
I'm facing issues with digestion and frequent indigestion. I've been experiencing this for a week. The condition is debilitating and seems to worsen after skipping meals.,Hepatologist,Portal Hypertension,5
I'm having difficulty opening my mouth fully. I've been experiencing this for several months. The condition is itchy and seems to worsen after using a new dental product.,Dental/OMFS,Bone grafting,2
I'm frequently feeling fatigued due to breathing problems. I've been experiencing this for a month. The intensity is mild but persistent. I struggle with basic movements like walking or climbing stairs. There is no significant relief despite treatments. It tends to get worse when I come into contact with allergens..,Pulmonology,Bronchiectasis,7
I've been diagnosed with low testosterone and am experiencing reduced libido. I've been experiencing this for a month. The condition is irregular and seems to worsen during menopause.,Endocrinologist,Metabolic syndrome,9
I'm experiencing mood swings and difficulties with focus. I've been experiencing this for a month. The condition is severe and seems to worsen after eating sugary foods.,Endocrinologist,Growth disorders (such as gigantism and dwarfism),5
My digestion has become irregular and painful. I've been experiencing this for a month. The condition is burning and seems to worsen after consuming caffeinated beverages.,Diabetologist,Hypertension,10
I have issues with my wrist and need surgical correction. I've been dealing with this for a week. The intensity is moderate and uncomfortable. It limits my ability to engage in social activities. I feel better with physical therapy. It tends to get worse after trauma or accidents..,Plastic Surgery,Maxillofacial Surgery,2
I'm experiencing vision loss from diabetic retinopathy. I've been experiencing this for a year. The condition is painful and seems to worsen after using digital screens.,Ophthalmologist,Uveitis,3
I have severe pain in my lower abdomen. I've been experiencing this for a week. The condition is scaly and seems to worsen in cold weather.,Urology,Testicular Cancer,9
I wake up at night with shortness of breath. I've been experiencing this a few hours. The condition is throbbing and seems to worsen excessive caffeine.,Cardiology,Angina,5
I feel dizzy and lightheaded throughout the day. I've been experiencing this for about a year. The pain is throbbing and seems to worsen during the night.,Nephrologist,Kidney Stones,8
I've experienced a sudden loss of strength in my arms. I've been experiencing this over a year. The condition is sharp and seems to worsen physical activity.,Cardiology,Heart failure,5
I've noticed unusual skin growths on my face. I've been experiencing this for a year. The condition is red and inflamed and seems to worsen when I get stressed.,Dermatologist,Fungal Infections,8
I have a burning sensation during urination. I've been experiencing this for a year. The condition is itchy and seems to worsen after physical activity.,Vascular Surgery,Hydrocele,8
My heartbeat feels irregular and sometimes very fast. I've been experiencing this for a week. The pain is dull and seems to worsen after eating high-protein meals.,Nephrologist,Glomerulonephritis,5
I've been experiencing severe abdominal pain and nausea. I've been experiencing this for a few days. The condition is swollen and seems to worsen following a trauma.,General Surgeon,Pancreatitis,6
I have a burning sensation during urination. I've been experiencing this for several months. The condition is scaly and seems to worsen after eating certain foods.,Urology,Kidney Stones,8
I experience swelling in my knees. I've been experiencing this since childhood. The intensity is severe and debilitating. I struggle with basic movements like standing or sitting. I feel better with over-the-counter pain relief. It tends to get worse after I engage in physical activity.,Rheumatology,Polymyalgia Rheumatica,9
I have intense fears and avoid certain situations. I've been experiencing this for a week. The intensity is extreme and overwhelming. It limits my ability to engage in social activities. Support from family and friends helps. It tends to get worse after consuming substances..,Psychiatry,Phobias,3
I need surgery to address severe spasticity in my hand. I've been dealing with this for several months. The intensity is mild but persistent. I struggle with physical limitations due to the condition. Pain is slightly eased with medication. It tends to get worse following a surgical procedure..,Plastic Surgery,Lymphedema,3
"I feel confused and disoriented at times, especially in unfamiliar places. I've been experiencing this for a few days. The condition is painful and seems to worsen following medication changes.",Geriatrician,Arthritis,7
I am working on regaining mobility after a spinal cord injury. I've been dealing with this since last winter. The intensity is extreme and overwhelming. It affects my ability to perform daily activities. There is no significant relief despite treatments. It tends to get worse due to underlying health conditions..,Physical Medicine and Rehabilitation,Chronic Pain Management,5
"My blood pressure is high despite medication, and I'm feeling weak. I've been experiencing this for several months. The condition is elevated and seems to worsen during hormonal changes.",Endocrinologist,Osteoporosis and other metabolic bone diseases,5
I have chest tightness and discomfort. I've been experiencing this for several months. The intensity is severe and debilitating. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Bronchiectasis,3
I have a burning sensation during urination. I've been experiencing this for a month. The condition is dry and seems to worsen after drinking alcohol.,Vascular Surgery,Testicular Cancer,4
I have a constant burning sensation on my skin. I've been experiencing this for a week. The condition is red and inflamed and seems to worsen in cold weather.,Dermatologist,Psoriasis,1
I experience chest pain and discomfort along with other symptoms. I've been experiencing this for a week. The pain is sharp and seems to worsen during times of dehydration.,Nephrologist,Hypertension-related Kidney Disease,10
I struggle with severe restriction and binging behaviors. I've been experiencing this since last winter. The intensity is mild but persistent. It limits my ability to engage in social activities. Support from family and friends helps. It tends to get worse when faced with specific phobias..,Psychiatry,Bipolar Disorder,7
I experience severe ear itching and discomfort. I've been experiencing this for a month. The condition is severe and seems to worsen after a recent respiratory infection.,ENT Specialist,Sinusitis,6
My hand has congenital differences that need surgical intervention. I've been dealing with this for a couple of weeks. The intensity is mild but persistent. It impacts my self-esteem and confidence. There is no significant relief despite treatments. It tends to get worse after trauma or accidents..,Plastic Surgery,Brachial Plexus,7
I'm experiencing severe joint pain. I've been experiencing this for the past few years. The intensity is mild but persistent. It affects my ability to perform daily tasks. I feel better with over-the-counter pain relief. It tends to get worse after I engage in physical activity.,Rheumatology,Systemic Sclerosis (Scleroderma),4
I experience delusions and hallucinations. I've been experiencing this for the past few years. The intensity is moderate and uncomfortable. I have difficulty maintaining relationships. There is no significant relief despite various treatments. It tends to get worse following traumatic events..,Psychiatry,Obsessive-Compulsive Disorder (OCD),8
I experience delusions and hallucinations. I've been experiencing this for several months. The intensity is mild but persistent. I struggle with work and personal responsibilities. Support from family and friends helps. It tends to get worse when faced with specific phobias..,Psychiatry,"Substance Use Disorders (e.g., Alcohol Use Disorder, Substance Abuse)",1
I'm having difficulty starting and maintaining a steady stream of urine. I've been experiencing this for several months. The condition is painful and seems to worsen when I get stressed.,Urology,Interstitial Cystitis,6
"I have noticed a chronic, productive cough. I've been experiencing this for a month. The intensity is extreme and unbearable. I struggle with basic movements like walking or climbing stairs. Using a nebulizer provides temporary relief. It tends to get worse after physical exertion..",Pulmonology,Sleep Apnea,9
I have severe pain in my lower abdomen. I've been experiencing this for a month. The condition is itchy and seems to worsen when I get stressed.,Urology,Benign Prostatic Hyperplasia (BPH),1
I have a persistent hoarseness in my voice and a cough. I've been experiencing this for a few days. The pain is aching and seems to worsen at night.,Oncologist,Breast Cancer,8
I am recovering from a recent fracture. I've been dealing with this for a couple of weeks. The intensity is extreme and overwhelming. It impacts my ability to work. No significant relief found. It tends to get worse after prolonged inactivity..,Orthopedics,Tennis Elbow,2
I've been diagnosed with jaundice and it's spreading. I've been experiencing this for a month. The condition is intense and seems to worsen after consuming alcohol.,Hepatologist,Liver Failure,6
The diaphragmatic hernia repair has led to ongoing discomfort and a feeling of tightness. I've been experiencing this for several months. The condition is healing and seems to worsen in cold weather.,Cardiothoracic Surgeon,Diaphragmatic hernia repair,1
"After the tracheal reconstruction, I occasionally feel a tightening sensation in my throat. I've been experiencing this for a month. The condition is sore and seems to worsen after medication.",Cardiothoracic Surgeon,Tracheal reconstruction,8
I need surgery for lymphedema in my arm. I've been dealing with this for a year. The intensity is extreme and overwhelming. I have difficulty performing routine tasks. I feel better with physical therapy. It tends to get worse due to complications from previous treatments..,Plastic Surgery,Microsurgery & Replantation,5
Pediatric hypertension is being monitored. for a week. Intensity: mild. It impacts school performance.. Better with specific treatments.. Worsens following certain foods..,Pediatrics,Attention Deficit Hyperactivity Disorder (ADHD),9
I suddenly lost vision and have severe headache and weakness. I've been experiencing this for a few hours. The condition is disorienting and seems to worsen due to a sudden illness.,Emergency Medicine Specialist,Sepsis,5
I feel a constant need to urinate but pass very little urine each time. I've been experiencing this for a week. The pain is severe and seems to worsen when I skip meals.,Nephrologist,Kidney Stones,5
I have difficulty adjusting to significant life changes. I've been experiencing this since last winter. The intensity is extreme and overwhelming. It affects my overall quality of life. There is no significant relief despite various treatments. It tends to get worse during periods of high stress..,Psychiatry,Psychotic Disorders,10
I've developed a persistent cough and shortness of breath. I've been experiencing this for a week. The condition is severe and seems to worsen following a change in diet.,Diabetologist,Diabetic Ketoacidosis (DKA),2
My child has been diagnosed with bronchiolitis. for a week. Intensity: moderate. It causes discomfort.. No significant relief found.. Worsens following certain foods..,Pediatrics,Dermatological Conditions,3
I need surgery to address severe spasticity in my hand. I've been dealing with this for a few days. The intensity is extreme and overwhelming. It limits my ability to engage in social activities. There is no significant relief despite treatments. It tends to get worse after a physical injury..,Plastic Surgery,Lymphedema,2
I experience sharp pain and swelling in my abdominal area. I've been experiencing this for several weeks. The condition is painful and seems to worsen after prolonged sitting.,General Surgeon,"Hernia (Inguinal, Umbilical, Incisional)",3
I feel full very quickly after starting to eat. I've been experiencing this for a year. The pain is sharp and seems to worsen when I'm stressed.,Gastroenterologist,Gallstones,9
"My thyroid levels are irregular, affecting my energy and weight. I've been experiencing this for several weeks. The condition is painful and seems to worsen after physical activity.",General Medicine Specialist,Anxiety Disorders,1
I've been diagnosed with atrial fibrillation. I've been experiencing this just today. The condition is persistent and seems to worsen physical activity.,Cardiology,Cardiomyopathy,10
Bursitis is inflaming my shoulder. I've been dealing with this for the past few years. The intensity is severe and debilitating. It affects my daily activities. Gets better with physical therapy. It tends to get worse after prolonged inactivity..,Orthopedics,Rotator Cuff Tear,3
Treatment for pediatric tumor. for several months. Intensity: moderate. It limits mobility.. Improves with rest.. Worsens after diagnosis..,Pediatric Surgery,Pediatric Trauma,2
I experience frequent nosebleeds and difficulty breathing through my nose. I've been experiencing this for a month. The condition is persistent and seems to worsen after eating certain foods.,ENT Specialist,Sinusitis,7
I've noticed my heartbeat is slow and irregular. I've been experiencing this a few hours. The condition is throbbing and seems to worsen excessive caffeine.,Cardiology,Hypertension,3
I'm managing gestational diabetes during my pregnancy. I've been experiencing this for a year. The condition is painful and seems to worsen in the mornings.,Obstetrics & Gynecology,Preeclampsia,6
My teeth are sensitive to hot and cold. I've been experiencing this for several months. The condition is itchy and seems to worsen after eating certain foods.,Dental/OMFS,Orthognathic surgery,9
I'm frequently feeling fatigued due to breathing problems. I've been experiencing this for a year. The intensity is severe and debilitating. I struggle with basic movements like walking or climbing stairs. Using a nebulizer provides temporary relief. It tends to get worse after a respiratory infection..,Pulmonology,Sleep Apnea,4
Treatment for pediatric tumor. for a week. Intensity: extreme. It causes discomfort.. No relief from treatments.. Worsens following an injury..,Pediatric Surgery,Wilms Tumor,5
I feel fatigued and lethargic all the time. I've been experiencing this for several months. The condition is burning and seems to worsen in cold weather.,Diabetologist,Type 1 Diabetes Mellitus,9
I have a persistent hoarseness in my voice and a cough. I've been experiencing this for a week. The pain is persistent and seems to worsen in the morning.,Oncologist,Melanoma,6
There's swelling in my abdomen that's getting worse. I've been experiencing this a few days. The condition is sudden and seems to worsen intense exercise.,Cardiology,Coronary artery disease,9
I have intrusive thoughts and compulsive behaviors. I've been experiencing this for a few days. The intensity is extreme and overwhelming. It affects my overall quality of life. I feel slightly better after engaging in hobbies. It tends to get worse following traumatic events..,Psychiatry,Post-Traumatic Stress Disorder (PTSD),9
I have severe fatigue even after a full night's sleep. I've been experiencing this over a year. The condition is gradual and seems to worsen excessive caffeine.,Cardiology,Peripheral artery disease,10
I've developed a high fever and rapid breathing. I've been experiencing this for a week. The condition is intense and seems to worsen after ingesting a harmful substance.,Emergency Medicine Specialist,Fractures and Dislocations,2
I'm experiencing pain in my testicles. I've been experiencing this for a month. The condition is scaly and seems to worsen after eating certain foods.,Vascular Surgery,Varicocele,7
"Post-thymectomy, I feel a residual soreness and occasional sharp pains. I've been experiencing this for a few days. The condition is discomforting and seems to worsen after medication.",Cardiothoracic Surgeon,Esophageal cancer surgery,4
I'm having difficulty opening my mouth fully. I've been experiencing this for a month. The condition is painful and seems to worsen in cold weather.,Dental/OMFS,Jaw fractures,4
I've been vomiting frequently. The pain is located in the upper abdomen. It comes and goes in waves. The intensity is severe and debilitating. It interferes with my sleep. Only relieved by lying down.,Surgical Gastroenterology,Colorectal Cancer,5
I struggle with severe restriction and binging behaviors. I've been experiencing this since last winter. The intensity is extreme and overwhelming. It affects my overall quality of life. I feel slightly better after engaging in hobbies. It tends to get worse when faced with specific phobias..,Psychiatry,"Eating Disorders (e.g., Anorexia Nervosa, Bulimia Nervosa)",5
I'm having difficulty moving my hands. I've been experiencing this for a year. The intensity is moderate and uncomfortable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse after I engage in physical activity.,Rheumatology,Systemic Lupus Erythematosus (SLE),6
I'm having difficulty moving my hands. I've been experiencing this for a year. The intensity is moderate and uncomfortable. It makes it hard to work or concentrate. There is no significant relief despite treatments. It tends to get worse when it's cold and damp outside.,Rheumatology,Myositis,4
I have frequent flare-ups of pain. I've been experiencing this since last winter. The intensity is moderate and uncomfortable. I struggle with basic movements like standing or sitting. I feel better with over-the-counter pain relief. It tends to get worse when it's cold and damp outside.,Rheumatology,Juvenile Idiopathic Arthritis,2
My eczema is getting worse and it's spreading. I've been experiencing this for several months. The condition is itchy and seems to worsen after eating certain foods.,Dermatologist,Eczema,10
My gums bleed easily during brushing and flossing. I've been experiencing this for several months. The pain is constant and seems to worsen after consuming alcohol.,Nephrologist,Chronic Kidney Disease (CKD),7
I've been having frequent headaches and facial pain. I've been experiencing this for a week. The condition is painful and seems to worsen following a cold.,ENT Specialist,Hoarseness,9
I've lost a lot of weight without trying. The pain is located in the lower abdomen. The symptoms gradually worsened over time. The intensity is severe and debilitating. I have difficulty performing daily activities. Only relieved by lying down.,Surgical Gastroenterology,Peptic Ulcer Disease,8
There is a persistent ache in my lower abdomen with occasional vomiting. I've been experiencing this for several months. The condition is persistent and seems to worsen due to a recent infection.,General Surgeon,Diverticulitis,2
The results were clear and informative. I have been experiencing symptoms for a month. I felt relieved after the results. The outcome was that It ruled out any major concerns.. I had to fast before the procedure.,Radiology,X-ray Diagnostics,10
"I've developed a rash that won't go away, and it itches badly. I've been experiencing this for a month. The pain is stabbing and seems to worsen in the morning.",Oncologist,Ovarian Cancer,5
"After the pericardial window creation, I have persistent discomfort and occasional sharp pain. I've been experiencing this for a year. The condition is post-surgical and seems to worsen after medication.",Cardiothoracic Surgeon,Atrial septal defect closure,10
I'm experiencing pain in my testicles. I've been experiencing this for a week. The condition is red and inflamed and seems to worsen after eating certain foods.,Vascular Surgery,Kidney Stones,7
I have severe pain in my stomach. The pain is located in the upper abdomen. The pain started suddenly. The intensity is moderate and uncomfortable. It limits my physical activity. Only relieved by lying down.,Surgical Gastroenterology,Diverticulitis,10
I feel extremely fatigued even after adequate rest. I've been experiencing this for a few days. The pain is dull and seems to worsen after consuming alcohol.,Nephrologist,Renal Tubular Acidosis (RTA),2
I need help recovering from a recent stroke. I've been dealing with this for a few days. The intensity is moderate and uncomfortable. I have difficulty with basic movements. There is no significant relief despite treatments. It tends to get worse after engaging in strenuous activities..,Physical Medicine and Rehabilitation,Chronic Pain Management,1
I have frequent panic attacks and constant worry. I've been experiencing this since last winter. The intensity is severe and debilitating. It limits my ability to engage in social activities. I feel slightly better after engaging in hobbies. It tends to get worse following traumatic events..,Psychiatry,Phobias,3
I experienced some discomfort during the scan. I have been experiencing symptoms for a month. I felt relieved after the results. The outcome was that It ruled out any major concerns.. I had to fast before the procedure.,Radiology,Hysterosalpingography,9
I have intense fears and avoid certain situations. I've been experiencing this for a week. The intensity is extreme and overwhelming. It affects my overall quality of life. There is no significant relief despite various treatments. It tends to get worse when faced with specific phobias..,Psychiatry,Depression,10
I have been diagnosed with polycystic ovary syndrome and am struggling with symptoms. I've been experiencing this for a month. The condition is fluctuating and seems to worsen after eating sugary foods.,Endocrinologist,Thyroid Disorders,2
I'm experiencing complications with my pregnancy. I've been experiencing this for a week. The condition is severe and seems to worsen during my menstrual cycle.,Obstetrics & Gynecology,Gestational Diabetes,5
My tendons are inflamed and painful. I've been dealing with this for a year. The intensity is severe and debilitating. It limits my social interactions. No significant relief found. It tends to get worse due to repetitive stress..,Orthopedics,Tendonitis,10
I've developed swelling in my legs and feet. I've been experiencing this for several months. The condition is numb and seems to worsen after drinking alcohol.,Diabetologist,Hypertension,9
Autism Spectrum Disorder has been confirmed. since birth. Intensity: mild. It impacts school performance.. Improves with rest and care.. Worsens due to seasonal changes..,Pediatrics,Immunizations and Preventive Care,3
I have intrusive thoughts and compulsive behaviors. I've been experiencing this for a year. The intensity is mild but persistent. I have difficulty maintaining relationships. There is no significant relief despite various treatments. It tends to get worse after consuming substances..,Psychiatry,Depression,5
There are warts on my hands that won't go away. I've been experiencing this for a week. The condition is dry and seems to worsen after using a new skincare product.,Dermatologist,Melanoma,2
I've been experiencing confusion and memory issues. I've been experiencing this for several months. The condition is intense and seems to worsen when I get stressed.,Hepatologist,Hepatitis,4
I have frequent muscle weakness that makes it hard to perform tasks. I've been experiencing this for two weeks. The pain is burning and seems to worsen when I lie down.,Nephrologist,Acute Kidney Injury (AKI),8
I'm having difficulty managing my blood sugar levels. I've been experiencing this for a month. The condition is severe and seems to worsen when I forget to take my medication.,Diabetologist,Diabetic Foot Ulcers,6
I'm experiencing frequent nausea. The pain is located in the lower abdomen. It is constant and unrelenting. The intensity is extreme and unbearable. It interferes with my sleep. Eases when I avoid certain foods.,Surgical Gastroenterology,Diverticulitis,1
I'm getting skin discoloration on my neck. I've been experiencing this for a week. The condition is scaly and seems to worsen after exposure to the sun.,Dermatologist,Moles and Birthmarks,3
Choledochal cysts found. for several months. Intensity: mild. It impacts play and learning.. Relief with medication.. Worsens due to genetics..,Pediatric Surgery,Esophageal Atresia,2
I have a chronic cough that worsens at night. I've been experiencing this since last year. The intensity is extreme and unbearable. It affects my ability to perform daily tasks. There is no significant relief despite treatments. It tends to get worse when exposed to cold air..,Pulmonology,Pulmonary Embolism,1
I'm struggling to breathe and feel lightheaded. I've been experiencing this for a month. The condition is intense and seems to worsen during strenuous physical activity.,Emergency Medicine Specialist,Trauma,7
I have a burning sensation during urination. I've been experiencing this for a year. The condition is scaly and seems to worsen when I get stressed.,Vascular Surgery,Cryptorchidism,6
I have trouble breathing when I lie down. I've been experiencing this since yesterday. The condition is throbbing and seems to worsen cold weather.,Cardiology,Angina,10
I feel lightheaded and have muscle cramps due to calcium imbalances. I've been experiencing this for a year. The condition is unpredictable and seems to worsen in cold weather.,Endocrinologist,Menopause and hormone replacement therapy,5
My blood pressure has been consistently high despite medication. I've been experiencing this for several months. The condition is burning and seems to worsen after physical exertion.,Diabetologist,Diabetic Dermopathy,1
I'm dealing with persistent wheezing. I've been experiencing this since last year. The intensity is extreme and unbearable. I can't engage in physical activities I used to enjoy. There is no significant relief despite treatments. It tends to get worse after physical exertion..,Pulmonology,Pulmonary Hypertension,10
